Title,Year,Genres,Rating,NumVotes
Pinocchio,1940,"Animation,Comedy,Family",7.4,132180
Rebecca,1940,"Drama,Mystery,Romance",8.1,124771
The Shop Around the Corner,1940,"Comedy,Drama,Romance",8.1,28663
The Thief of Bagdad,1940,"Adventure,Family,Fantasy",7.5,12002
Ball of Fire,1941,"Comedy,Romance",7.8,11181
Citizen Kane,1941,"Drama,Mystery",8.3,406279
Dumbo,1941,"Animation,Drama,Family",7.2,120436
High Sierra,1941,"Action,Adventure,Crime",7.5,15232
How Green Was My Valley,1941,"Drama,Family",7.7,21512
The Lady Eve,1941,"Comedy,Romance",7.8,19297
The Little Foxes,1941,"Drama,Romance",8.0,10552
The Maltese Falcon,1941,"Film-Noir,Mystery",8.0,149499
Meet John Doe,1941,"Comedy,Drama,Romance",7.6,12259
Sergeant York,1941,"Biography,Drama,History",7.7,15457
Sullivan's Travels,1941,"Adventure,Comedy,Drama",7.9,24150
Suspicion,1941,"Film-Noir,Mystery,Thriller",7.4,33096
The Wolf Man,1941,Horror,7.3,24156
Bambi,1942,"Animation,Drama,Family",7.3,132003
Casablanca,1942,"Drama,Romance,War",8.5,525143
Cat People,1942,"Fantasy,Horror,Thriller",7.3,20230
Holiday Inn,1942,"Comedy,Drama,Music",7.4,13616
The Magnificent Ambersons,1942,"Drama,Romance",7.7,22753
Mrs. Miniver,1942,"Drama,Romance,War",7.6,16028
"Now, Voyager",1942,"Drama,Romance",7.9,15379
The Palm Beach Story,1942,"Comedy,Romance",7.5,10869
Saboteur,1942,"Thriller,War",7.2,23597
Kate & Leopold,2001,"Comedy,Fantasy,Romance",6.4,79283
To Be or Not to Be,1942,"Comedy,War",8.2,30448
Yankee Doodle Dandy,1942,"Biography,Drama,Music",7.7,14178
I Walked with a Zombie,1943,"Drama,Fantasy,Horror",7.1,11158
The Life and Death of Colonel Blimp,1943,"Drama,Romance,War",8.1,13279
The Ox-Bow Incident,1942,"Drama,Western",8.0,20953
Shadow of a Doubt,1943,"Film-Noir,Thriller",7.8,59953
Arsenic and Old Lace,1942,"Comedy,Crime,Thriller",8.0,65392
Double Indemnity,1944,"Crime,Drama,Film-Noir",8.3,144501
Gaslight,1944,"Crime,Drama,Mystery",7.8,24877
The Best Years of Our Lives,1946,"Drama,Romance,War",8.0,57604
Going My Way,1944,"Comedy,Drama,Music",7.0,10639
Laura,1944,"Drama,Film-Noir,Mystery",7.9,42954
Lifeboat,1944,"Drama,War",7.6,26592
Meet Me in St. Louis,1944,"Comedy,Drama,Family",7.5,21212
"Murder, My Sweet",1944,"Crime,Drama,Film-Noir",7.6,12189
To Have and Have Not,1944,"Adventure,Comedy,Film-Noir",7.8,31256
The Uninvited,1944,"Fantasy,Horror,Mystery",7.3,10075
The Woman in the Window,1944,"Crime,Drama,Film-Noir",7.7,14275
And Then There Were None,1945,"Crime,Drama,Mystery",7.5,13200
Brief Encounter,1945,"Drama,Romance",8.0,35937
Dead of Night,1945,"Drama,Horror",7.6,11092
Detour,1945,"Crime,Drama,Film-Noir",7.4,15414
Children of Paradise,1945,"Drama,Romance",8.4,18328
Leave Her to Heaven,1945,"Drama,Film-Noir,Romance",7.6,11079
The Lost Weekend,1945,"Drama,Film-Noir",7.9,33725
Mildred Pierce,1945,"Crime,Drama,Film-Noir",8.0,22924
The Picture of Dorian Gray,1945,"Drama,Fantasy,Horror",7.5,11974
Scarlet Street,1945,"Drama,Film-Noir,Thriller",7.8,14753
Spellbound,1945,"Film-Noir,Mystery,Romance",7.6,43717
The Three Caballeros,1944,"Animation,Comedy,Family",6.4,12634
Beauty and the Beast,1946,"Drama,Fantasy,Romance",7.9,24339
The Big Sleep,1946,"Crime,Film-Noir,Mystery",7.9,79083
Gilda,1946,"Drama,Film-Noir,Romance",7.7,28154
Great Expectations,1946,"Adventure,Drama,Mystery",7.8,22204
It's a Wonderful Life,1946,"Drama,Family,Fantasy",8.6,408286
The Killers,1946,"Crime,Drama,Film-Noir",7.8,19376
A Matter of Life and Death,1946,"Comedy,Drama,Fantasy",8.1,19748
My Darling Clementine,1946,"Biography,Drama,Romance",7.8,21651
Notorious,1946,"Drama,Film-Noir,Romance",7.9,92737
The Postman Always Rings Twice,1946,"Crime,Drama,Film-Noir",7.5,18758
"Rome, Open City",1945,"Drama,Thriller,War",8.1,23707
Song of the South,1946,"Animation,Comedy,Family",7.1,11448
