Title,Year,Genres,Rating,NumVotes
On Golden Pond,1981,Drama,7.6,27809
Outland,1981,"Action,Crime,Sci-Fi",6.6,27479
Possession,1981,"Drama,Horror",7.4,25713
The Postman Always Rings Twice,1981,"Crime,Drama,Romance",6.6,21717
The Professional,1981,"Action,Crime,Drama",7.6,13269
The House by the Cemetery,1981,Horror,6.2,12798
Indiana Jones and the Raiders of the Lost Ark,1981,"Action,Adventure",8.4,888444
Reds,1981,"Biography,Drama,History",7.3,21054
Southern Comfort,1981,"Action,Thriller",7.2,16613
Stripes,1981,"Comedy,War",6.9,66015
Taps,1981,Drama,6.8,16653
Thief,1981,"Action,Crime,Drama",7.4,25887
Victory,1981,"Drama,Sport,War",6.7,27916
48 Hrs.,1982,"Action,Comedy,Crime",6.9,70296
Airplane II: The Sequel,1982,"Comedy,Sci-Fi",6.2,49337
Amityville II: The Possession,1982,Horror,5.6,10352
Annie,1982,"Comedy,Drama,Family",6.6,40258
Basket Case,1982,"Comedy,Horror",6.2,16414
The Beastmaster,1982,"Action,Adventure,Fantasy",6.2,21052
Blade Runner,1982,"Action,Sci-Fi,Thriller",8.1,697533
Cat People,1982,"Fantasy,Horror,Thriller",6.2,19401
Creepshow,1982,"Comedy,Fantasy,Horror",6.9,42637
The Dark Crystal,1982,"Adventure,Family,Fantasy",7.2,62394
Dead Men Don't Wear Plaid,1982,"Comedy,Crime,Mystery",6.9,20482
Deathtrap,1982,"Comedy,Crime,Mystery",7.0,12225
Diner,1982,"Comedy,Drama",7.1,18812
E.T. the Extra-Terrestrial,1982,"Family,Sci-Fi",7.8,374387
The Evil Dead,1981,Horror,7.5,188171
Evil Under the Sun,1982,"Crime,Drama,Mystery",7.1,14869
Fanny and Alexander,1982,Drama,8.1,58014
Fast Times at Ridgemont High,1982,"Comedy,Drama",7.2,95273
Firefox,1982,"Action,Adventure,Thriller",6.0,25269
First Blood,1982,"Action,Adventure",7.7,227760
Fitzcarraldo,1982,"Adventure,Drama",8.1,31820
Friday the 13th Part III,1982,"Horror,Thriller",5.7,47983
Gandhi,1982,"Biography,Drama,History",8.0,218434
Grease 2,1982,"Comedy,Drama,Musical",4.4,33070
The Last Unicorn,1982,"Adventure,Animation,Drama",7.5,24553
The Marathon Family,1982,"Comedy,Drama",9.0,14582
A Midsummer Night's Sex Comedy,1982,Comedy,6.6,18543
Missing,1982,"Biography,Drama,History",7.7,18673
Monty Python Live at the Hollywood Bowl,1982,"Comedy,Documentary,Musical",7.9,13272
Night Shift,1982,Comedy,6.6,14152
An Officer and a Gentleman,1982,"Drama,Romance",7.0,50084
Pink Floyd: The Wall,1982,"Drama,Fantasy,Music",8.1,76395
Poltergeist,1982,"Horror,Thriller",7.3,145108
Porky's,1981,Comedy,6.2,38851
Rocky III,1982,"Drama,Sport",6.8,175531
The Secret of NIMH,1982,"Adventure,Animation,Drama",7.6,36441
The Slumber Party Massacre,1982,Horror,5.7,11645
Sophie's Choice,1982,"Drama,Romance",7.6,42587
Star Trek II: The Wrath of Khan,1982,"Action,Adventure,Sci-Fi",7.7,113169
Swamp Thing,1982,"Horror,Sci-Fi",5.4,13114
Tenebrae,1982,"Crime,Horror,Mystery",7.1,20701
The Thing,1982,"Horror,Mystery,Sci-Fi",8.1,373571
Tootsie,1982,"Comedy,Drama,Romance",7.4,98439
The Toy,1982,Comedy,5.9,11211
TRON,1982,"Action,Adventure,Sci-Fi",6.8,113779
The Verdict,1982,Drama,7.7,36350
Victor Victoria,1982,"Comedy,Music,Romance",7.6,19525
The World According to Garp,1982,"Comedy,Drama",7.2,25038
Yol,1982,Drama,8.1,12548
Project A,1983,"Action,Comedy",7.4,15192
All the Right Moves,1983,"Drama,Romance,Sport",6.0,15791
Bad Boys,1983,"Crime,Drama,Thriller",7.2,14030
The Big Chill,1983,"Comedy,Drama",7.2,33086
Blue Thunder,1983,"Action,Crime,Drama",6.4,17630
Brainstorm,1983,"Sci-Fi,Thriller",6.4,10954
Who Finds a Friend Finds a Treasure,1981,"Action,Adventure,Comedy",7.2,10565
Christine,1983,"Horror,Thriller",6.7,73041
A Christmas Story,1983,"Comedy,Family",7.9,133312
Cujo,1983,"Horror,Thriller",6.1,40037
The Day After,1983,"Drama,Sci-Fi",7.0,14542
The Dead Zone,1983,"Drama,Horror,Sci-Fi",7.2,63088
Educating Rita,1983,"Comedy,Drama",7.2,12817
Flashdance,1983,"Drama,Music,Romance",6.2,48155
Gorky Park,1983,"Crime,Drama,Mystery",6.8,12779
Halloween III: Season of the Witch,1982,"Horror,Mystery,Sci-Fi",5.0,44180
The Hunger,1983,"Drama,Horror",6.7,23258
Jaane Bhi Do Yaaro,1983,"Comedy,Drama",8.4,13247
Jaws 3-D,1983,"Adventure,Horror,Thriller",3.7,40044
The Keep,1983,"Drama,Fantasy,Horror",5.8,10964
The King of Comedy,1982,"Comedy,Crime,Drama",7.8,90017
Koyaanisqatsi,1982,"Documentary,Music",8.3,35598
Krull,1983,"Action,Adventure,Fantasy",6.1,30484
Local Hero,1983,"Comedy,Drama",7.4,21857
Lone Wolf McQuade,1983,"Action,Crime,Drama",6.4,11098
The Man with Two Brains,1983,"Comedy,Romance,Sci-Fi",6.4,24263
Merry Christmas Mr. Lawrence,1983,"Drama,War",7.3,15675
The Meaning of Life,1983,"Comedy,Musical",7.5,114388
Mr. Mom,1983,"Comedy,Drama",6.6,21136
National Lampoon's Vacation,1983,"Adventure,Comedy",7.4,98138
Never Say Never Again,1983,"Action,Adventure,Thriller",6.2,62400
Nostalgia,1983,Drama,8.1,23676
Octopussy,1983,"Action,Adventure,Thriller",6.6,96164
The Outsiders,1983,"Crime,Drama",7.1,76067
Porky's II: The Next Day,1983,Comedy,5.1,11114
Psycho II,1983,"Crime,Horror,Mystery",6.5,24360
Star Wars: Episode VI - Return of the Jedi,1983,"Action,Adventure,Fantasy",8.3,955754
The Right Stuff,1983,"Adventure,Biography,Drama",7.8,56446
Risky Business,1983,"Comedy,Crime,Drama",6.8,81502
Rumble Fish,1983,"Crime,Drama,Romance",7.2,31954
Scarface,1983,"Crime,Drama",8.3,746691
Silkwood,1983,"Biography,Drama,History",7.2,18454
Sleepaway Camp,1983,Horror,6.3,27200
Staying Alive,1983,"Drama,Music,Romance",4.7,14681
Strange Brew,1983,"Comedy,Crime,Sci-Fi",6.7,15706
Sudden Impact,1983,"Action,Crime,Thriller",6.7,41053
Superman III,1983,"Action,Adventure,Comedy",5.0,64502
Terms of Endearment,1983,"Comedy,Drama",7.4,55542
To Be or Not to Be,1983,"Comedy,Drama,War",6.9,10286
Trading Places,1983,Comedy,7.5,138096
Twilight Zone: The Movie,1983,"Horror,Sci-Fi",6.5,33323
Valley Girl,1983,"Comedy,Romance",6.4,13714
Videodrome,1983,"Horror,Sci-Fi,Thriller",7.2,84383
WarGames,1983,"Action,Adventure,Drama",7.1,91407
The Year of Living Dangerously,1982,"Drama,Romance,War",7.1,19671
Yentl,1983,"Drama,Musical,Romance",6.6,12790
Zelig,1983,Comedy,7.7,40052
2010,1984,"Adventure,Mystery,Sci-Fi",6.8,49800
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,"Adventure,Comedy,Romance",6.3,24077
Against All Odds,1984,"Action,Adventure,Crime",5.9,11090
All of Me,1984,"Comedy,Fantasy,Romance",6.7,16894
Amadeus,1984,"Biography,Drama,History",8.3,371013
Bachelor Party,1984,Comedy,6.3,35712
Balkan Spy,1984,"Comedy,Drama",8.9,10586
Beverly Hills Cop,1984,"Action,Comedy,Crime",7.3,165096
Birdy,1984,"Drama,War",7.3,21656
Blood Simple,1984,"Crime,Drama,Thriller",7.6,88370
Body Double,1984,"Crime,Drama,Mystery",6.8,29257
The Bounty,1984,"Adventure,Drama,History",7.1,24899
Broadway Danny Rose,1984,Comedy,7.4,24045
C.H.U.D.,1984,"Horror,Sci-Fi",5.6,10874
Cannonball Run II,1984,"Action,Comedy",5.1,15027
Children of the Corn,1984,"Horror,Thriller",5.7,47843
A Christmas Carol,1984,"Drama,Family,Fantasy",7.8,12807
The Company of Wolves,1984,"Drama,Fantasy,Horror",6.7,15094
Conan the Destroyer,1984,"Action,Adventure,Fantasy",5.9,76332
The Cotton Club,1984,"Crime,Drama,Music",6.6,16668
Dreamscape,1984,"Action,Adventure,Horror",6.3,13853
Dune,1984,"Action,Adventure,Sci-Fi",6.5,128461
The Falcon and the Snowman,1985,"Biography,Crime,Drama",6.8,10731
Falling in Love,1984,"Drama,Romance",6.5,12840
Firestarter,1984,"Action,Horror,Sci-Fi",6.1,29461
Footloose,1984,"Drama,Music,Romance",6.6,70798
Friday the 13th: The Final Chapter,1984,"Horror,Thriller",6.0,45698
Ghostbusters,1984,"Action,Comedy,Fantasy",7.8,357116
Gremlins,1984,"Comedy,Fantasy,Horror",7.3,200811
Greystoke,1984,"Adventure,Drama",6.4,17716
Indiana Jones and the Temple of Doom,1984,"Action,Adventure",7.6,451535
Johnny Dangerously,1984,"Comedy,Crime",6.6,13264
The Karate Kid,1984,"Action,Drama,Family",7.3,199821
Nausicaä of the Valley of the Wind,1984,"Adventure,Animation,Fantasy",8.1,152347
The Killing Fields,1984,"Biography,Drama,History",7.8,51885
Wheels on Meals,1984,"Action,Comedy,Crime",7.2,12024
The Last Starfighter,1984,"Action,Adventure,Sci-Fi",6.8,38650
Missing in Action,1984,"Action,Adventure,Drama",5.5,13904
Moscow on the Hudson,1984,"Comedy,Drama,Romance",6.5,10973
The Muppets Take Manhattan,1984,"Adventure,Comedy,Drama",6.9,19650
The Natural,1984,"Drama,Sport",7.5,44395
Night of the Comet,1984,"Comedy,Horror,Sci-Fi",6.4,18670
A Nightmare on Elm Street,1984,Horror,7.5,208188
1984,1984,"Drama,Sci-Fi",7.1,66957
Once Upon a Time in America,1984,"Crime,Drama",8.4,313803
"Paris, Texas",1984,Drama,8.1,92472
A Passage to India,1984,"Adventure,Drama,History",7.3,17102
Phenomena,1985,"Crime,Horror,Mystery",6.8,23688
The Philadelphia Experiment,1984,"Adventure,Drama,Romance",6.1,14260
Places in the Heart,1984,Drama,7.4,10478
Police Academy,1984,Comedy,6.7,114985
Purple Rain,1984,"Drama,Music,Romance",6.6,19710
Red Dawn,1984,"Action,Drama",6.4,51410
Repo Man,1984,"Action,Comedy,Crime",6.9,34211
Revenge of the Nerds,1984,Comedy,6.7,49059
Romancing the Stone,1984,"Action,Adventure,Comedy",6.9,83498
Ronja Robbersdaughter,1984,"Adventure,Drama,Family",7.3,10374
Runaway,1984,"Action,Crime,Sci-Fi",5.9,11835
Sexmission,1984,"Adventure,Comedy,Sci-Fi",7.7,12103
"Silent Night, Deadly Night",1984,"Horror,Thriller",5.9,13862
Sixteen Candles,1984,"Comedy,Romance",7.1,106191
Splash,1984,"Comedy,Fantasy,Romance",6.3,69712
Star Trek III: The Search for Spock,1984,"Action,Adventure,Sci-Fi",6.7,75166
Starman,1984,"Romance,Sci-Fi",7.0,43186
Stop Making Sense,1984,"Documentary,Music",8.6,13390
Stranger Than Paradise,1984,"Comedy,Drama",7.5,34791
Streets of Fire,1984,"Action,Crime,Drama",6.7,18238
Supergirl,1984,"Action,Adventure,Fantasy",4.4,18856
The Terminator,1984,"Action,Sci-Fi",8.0,802211
This Is Spinal Tap,1984,"Comedy,Music",7.9,129505
Tightrope,1984,"Crime,Mystery,Thriller",6.3,15987
Top Secret!,1984,"Comedy,Music",7.2,60622
The NeverEnding Story,1984,"Adventure,Drama,Family",7.4,133191
The Woman in Red,1984,"Comedy,Romance",6.0,14140
After Hours,1985,"Comedy,Crime,Drama",7.7,60377
American Ninja,1985,"Action,Adventure,Romance",5.5,13993
Back to the Future,1985,"Adventure,Comedy,Sci-Fi",8.5,1065630
Better Off Dead...,1985,"Comedy,Romance",7.1,41584
The Black Cauldron,1985,"Action,Adventure,Animation",6.4,32064
Brazil,1985,"Drama,Sci-Fi",7.9,188358
The Breakfast Club,1985,"Comedy,Drama",7.8,358920
Brewster's Millions,1985,Comedy,6.6,35712
Cat's Eye,1985,"Comedy,Horror,Thriller",6.3,22957
Clue,1985,"Comedy,Crime,Mystery",7.3,85205
Cocoon,1985,"Comedy,Drama,Sci-Fi",6.7,57600
The Color Purple,1985,Drama,7.8,78869
Commando,1985,"Action,Adventure,Thriller",6.7,147223
D.A.R.Y.L.,1985,"Family,Sci-Fi",6.3,12201
Day of the Dead,1985,"Horror,Thriller",7.2,63532
Death Wish 3,1985,"Action,Crime,Drama",5.9,14168
Death of a Salesman,1985,Drama,7.3,10256
Demons,1985,Horror,6.7,20166
Desperately Seeking Susan,1985,"Comedy,Drama",6.0,21119
Enemy Mine,1985,"Action,Adventure,Drama",6.9,43695
Explorers,1985,"Adventure,Comedy,Family",6.6,19969
F/X,1986,"Action,Thriller",6.7,17693
Flesh+Blood,1985,"Adventure,Drama",6.7,16604
Fletch,1985,"Comedy,Crime,Mystery",6.9,47949
Friday the 13th: A New Beginning,1985,"Horror,Mystery,Thriller",4.8,34271
Fright Night,1985,"Fantasy,Horror,Thriller",7.1,61831
The Goonies,1985,"Adventure,Comedy,Family",7.8,246050
Hobgoblins,1988,"Comedy,Horror,Sci-Fi",2.3,10505
Into the Night,1985,"Action,Comedy,Crime",6.5,11179
Jagged Edge,1985,"Drama,Mystery,Thriller",6.5,13317
The Jewel of the Nile,1985,"Action,Adventure,Comedy",6.2,51181
Police Story,1985,"Action,Comedy,Crime",7.6,30076
Just One of the Guys,1985,"Comedy,Romance",6.5,14168
King Solomon's Mines,1985,"Action,Adventure,Comedy",5.3,12603
Kiss of the Spider Woman,1985,Drama,7.4,14315
Ladyhawke,1985,"Adventure,Comedy,Drama",7.0,43500
The Last Dragon,1985,"Action,Comedy,Drama",6.9,13058
Legend,1985,"Adventure,Fantasy,Romance",6.5,60329
Lifeforce,1985,"Action,Horror,Mystery",6.2,22764
Mad Max Beyond Thunderdome,1985,"Action,Adventure,Sci-Fi",6.3,127538
The Man with One Red Shoe,1985,"Comedy,Thriller",5.7,14866
Mask,1985,"Biography,Drama",7.2,26189
My Life as a Dog,1985,"Comedy,Drama",7.5,18429
National Lampoon's European Vacation,1985,"Adventure,Comedy",6.2,59043
A Nightmare on Elm Street 2: Freddy's Revenge,1985,Horror,5.5,62070
"No Retreat, No Surrender",1986,"Action,Comedy,Crime",5.7,15737
Once Bitten,1985,"Comedy,Drama,Fantasy",5.6,13464
Out of Africa,1985,"Biography,Drama,Romance",7.2,73337
Pale Rider,1985,"Drama,Western",7.3,53362
Pee-wee's Big Adventure,1985,"Adventure,Comedy,Family",7.0,49568
Police Academy 2: Their First Assignment,1985,Comedy,5.8,51718
Prizzi's Honor,1985,"Comedy,Crime,Drama",6.7,22873
The Purple Rose of Cairo,1985,"Comedy,Fantasy,Romance",7.7,47315
The Quiet Earth,1985,"Drama,Mystery,Sci-Fi",6.8,24591
Rambo: First Blood Part II,1985,"Action,Adventure,Thriller",6.5,155436
Ran,1985,"Action,Drama,War",8.2,113437
Re-Animator,1985,"Comedy,Horror,Sci-Fi",7.2,57014
Real Genius,1985,"Comedy,Romance,Sci-Fi",7.0,30497
Red Sonja,1985,"Action,Adventure,Fantasy",5.1,38841
Remo Williams: The Adventure Begins,1985,"Action,Adventure,Comedy",6.5,11208
The Return of the Living Dead,1985,"Comedy,Horror,Sci-Fi",7.3,54887
Return to Oz,1985,"Adventure,Family,Fantasy",6.8,24889
Rocky IV,1985,"Drama,Sport",6.9,188489
Runaway Train,1985,"Action,Adventure,Drama",7.2,27025
Santa Claus: The Movie,1985,"Adventure,Family,Fantasy",6.3,11869
Silver Bullet,1985,Horror,6.4,24380
Silverado,1985,"Action,Crime,Drama",7.2,38801
Spies Like Us,1985,"Adventure,Comedy",6.5,44554
St. Elmo's Fire,1985,"Drama,Romance",6.4,36738
The Stuff,1985,"Comedy,Horror,Sci-Fi",5.9,14293
Subway,1985,Thriller,6.6,14145
Summer Rental,1985,Comedy,6.3,13989
The Sure Thing,1985,"Comedy,Drama,Romance",7.0,19359
Teen Wolf,1985,"Comedy,Fantasy,Romance",6.1,46314
Threads,1984,"Drama,Sci-Fi,War",8.0,12310
To Live and Die in L.A.,1985,"Action,Crime,Drama",7.3,29545
The Toxic Avenger,1984,"Action,Comedy,Horror",6.3,25216
Vampire Hunter D,1985,"Action,Animation,Fantasy",7.2,13341
A View to a Kill,1985,"Action,Adventure,Thriller",6.4,89414
Weird Science,1985,"Comedy,Romance,Sci-Fi",6.6,80583
Witness,1985,"Crime,Drama,Romance",7.4,87235
Year of the Dragon,1985,"Action,Crime,Drama",6.9,14087
Young Sherlock Holmes,1985,"Adventure,Fantasy,Mystery",6.8,19568
Crocodile Dundee,1986,"Action,Adventure,Comedy",6.6,93104
Betty Blue,1986,"Drama,Romance",7.4,18184
About Last Night,1986,"Comedy,Drama,Romance",6.3,14672
Aliens,1986,"Action,Adventure,Sci-Fi",8.3,655966
An American Tail,1986,"Adventure,Animation,Comedy",6.9,49059
April Fool's Day,1986,"Horror,Mystery",6.2,14596
Armed and Dangerous,1986,"Action,Comedy,Crime",5.7,10715
Asterix in Britain,1986,"Adventure,Animation,Comedy",7.1,10816
At Close Range,1986,"Crime,Drama",7.0,14286
Back to School,1986,"Comedy,Romance,Sport",6.7,28366
Big Trouble in Little China,1986,"Action,Adventure,Comedy",7.3,124453
Blue Velvet,1986,"Drama,Mystery,Thriller",7.7,182480
Children of a Lesser God,1986,"Drama,Romance",7.2,15073
Chopping Mall,1986,"Comedy,Horror,Sci-Fi",5.6,12354
Clockwise,1986,Comedy,6.6,11442
Cobra,1986,"Action,Crime,Thriller",5.8,67929
The Color of Money,1986,"Drama,Sport",7.0,75409
Critters,1986,"Comedy,Horror,Sci-Fi",6.1,31248
Crossroads,1986,"Drama,Music,Mystery",7.1,14488
The Delta Force,1986,"Action,Adventure,Drama",5.7,18932
Down and Out in Beverly Hills,1986,Comedy,6.2,15726
Down by Law,1986,"Comedy,Crime,Drama",7.8,48081
Ferris Bueller's Day Off,1986,Comedy,7.8,322895
Flight of the Navigator,1986,"Adventure,Comedy,Family",6.9,44515
The Fly,1986,"Drama,Horror,Sci-Fi",7.6,160716
Friday the 13th Part VI: Jason Lives,1986,"Horror,Thriller",6.0,39162
From Beyond,1986,"Horror,Sci-Fi",6.7,23111
The Golden Child,1986,"Action,Adventure,Comedy",6.0,51882
The Great Mouse Detective,1986,"Adventure,Animation,Family",7.2,45440
Gung Ho,1986,"Comedy,Drama",6.3,11763
Hannah and Her Sisters,1986,"Comedy,Drama",7.9,67505
Heartbreak Ridge,1986,"Drama,War",6.9,39881
Highlander,1986,"Action,Adventure,Fantasy",7.1,122684
The Hitcher,1986,"Action,Thriller",7.2,43831
Hoosiers,1986,"Drama,Sport",7.5,43161
House,1985,"Comedy,Fantasy,Horror",6.2,23541
Howard the Duck,1986,"Action,Adventure,Comedy",4.7,43420
Come and See,1985,"Drama,Thriller,War",8.3,60255
Iron Eagle,1986,"Action,Thriller,War",5.5,13484
Jean de Florette,1986,"Comedy,Drama",8.0,24126
Jumpin' Jack Flash,1986,"Comedy,Romance,Thriller",6.0,18308
The Karate Kid Part II,1986,"Action,Family,Sport",6.1,80181
Kin-dza-dza!,1986,"Comedy,Drama,Sci-Fi",8.1,11550
Labyrinth,1986,"Adventure,Family,Fantasy",7.4,124741
Legal Eagles,1986,"Comedy,Crime,Romance",6.0,10076
Little Shop of Horrors,1986,"Comedy,Horror,Musical",7.0,66449
Armour of God,1986,"Action,Adventure,Comedy",7.1,17896
Lucas,1986,"Comedy,Drama,Romance",6.9,14712
Manhunter,1986,"Crime,Horror,Mystery",7.2,66460
Manon of the Spring,1986,Drama,8.0,20841
Matador,1986,"Drama,Thriller",7.0,10860
Maximum Overdrive,1986,"Action,Comedy,Horror",5.5,30351
The Mission,1986,"Adventure,Drama,History",7.4,56092
Mona Lisa,1986,"Crime,Drama,Romance",7.3,13291
The Money Pit,1986,Comedy,6.4,52566
The Mosquito Coast,1986,"Adventure,Drama,Thriller",6.6,26558
My Beautiful Laundrette,1985,"Comedy,Drama,Romance",6.8,14498
The Name of the Rose,1986,"Crime,Drama,Mystery",7.7,102530
Night of the Creeps,1986,"Comedy,Horror,Sci-Fi",6.8,21072
9½ Weeks,1986,"Drama,Romance",6.0,37739
The Sacrifice,1986,Drama,8.1,24825
One Crazy Summer,1986,"Comedy,Romance",6.5,14050
Peggy Sue Got Married,1986,"Comedy,Drama,Fantasy",6.4,33282
Platoon,1986,"Drama,War",8.1,383237
Police Academy 3: Back in Training,1986,Comedy,5.4,42745
Poltergeist II: The Other Side,1986,Horror,5.7,25120
Pretty in Pink,1986,"Comedy,Drama,Romance",6.8,74985
Psycho III,1986,"Horror,Mystery,Thriller",5.4,13226
Raw Deal,1986,"Action,Crime,Thriller",5.6,31083
River's Edge,1986,"Crime,Drama",7.0,16058
A Room with a View,1985,"Drama,Romance",7.3,40011
Running Scared,1986,"Action,Comedy,Crime",6.6,11436
Ruthless People,1986,"Comedy,Crime",6.9,25931
Salvador,1986,"Drama,History,Thriller",7.4,19494
She's Gotta Have It,1986,"Comedy,Romance",6.8,12334
Short Circuit,1986,"Comedy,Family,Sci-Fi",6.7,57178
Sid and Nancy,1986,"Biography,Drama,Music",7.0,29703
Something Wild,1986,"Comedy,Crime,Romance",6.9,16292
SpaceCamp,1986,"Adventure,Family,Sci-Fi",5.7,13025
Stand by Me,1986,"Adventure,Drama",8.1,365398
Star Trek IV: The Voyage Home,1986,"Action,Adventure,Comedy",7.3,79329
Tampopo,1985,Comedy,7.9,16092
Castle in the Sky,1986,"Adventure,Animation,Drama",8.0,151281
The Texas Chainsaw Massacre 2,1986,"Comedy,Horror",5.6,28203
Three Amigos!,1986,"Comedy,Western",6.5,68691
Top Gun,1986,"Action,Drama",6.9,297556
The Transformers: The Movie,1986,"Action,Adventure,Animation",7.3,37555
Wildcats,1986,"Comedy,Sport",6.1,12054
The Wraith,1986,"Action,Horror,Romance",6.0,15036
A Better Tomorrow,1986,"Action,Crime,Drama",7.5,20740
Youngblood,1986,"Drama,Romance,Sport",6.2,12434
Crocodile Dundee II,1988,"Action,Adventure,Comedy",5.7,53582
*batteries not included,1987,"Comedy,Family,Fantasy",6.7,31673
Adventures in Babysitting,1987,"Adventure,Comedy,Crime",7.0,38692
Angel Heart,1987,"Horror,Mystery,Thriller",7.3,80985
Au Revoir les Enfants,1987,"Drama,War",8.0,31350
Babette's Feast,1987,Drama,7.8,18333
Baby Boom,1987,"Comedy,Drama,Romance",6.3,13987
Bad Taste,1987,"Comedy,Horror,Sci-Fi",6.6,44239
Barfly,1987,"Comedy,Drama,Romance",7.2,18854
Beverly Hills Cop II,1987,"Action,Comedy,Crime",6.5,108291
The Big Easy,1986,"Comedy,Crime,Drama",6.5,11686
Blind Date,1987,"Comedy,Romance",6.0,20927
Bloodsport,1988,"Action,Biography,Drama",6.8,77280
The Brave Little Toaster,1987,"Adventure,Animation,Family",7.3,23707
Broadcast News,1987,"Comedy,Drama,Romance",7.2,27333
Can't Buy Me Love,1987,"Comedy,Drama,Romance",6.8,33137
Creepshow 2,1987,"Fantasy,Horror",6.1,22704
Cry Freedom,1987,"Biography,Drama,History",7.4,12558
Dirty Dancing,1987,"Drama,Music,Romance",7.0,205310
Dragnet,1987,"Comedy,Crime",6.0,31962
Eddie Murphy: Raw,1987,"Comedy,Documentary",7.7,18537
Empire of the Sun,1987,"Action,Drama,History",7.7,116422
Ernest Goes to Camp,1987,"Comedy,Family",5.6,10871
Evil Dead II,1987,"Action,Comedy,Fantasy",7.8,148973
Fatal Attraction,1987,"Drama,Thriller",6.9,77177
Full Metal Jacket,1987,"Drama,War",8.3,679089
The Gate,1987,"Fantasy,Horror",6.1,15508
"Good Morning, Vietnam",1987,"Biography,Comedy,Drama",7.3,126748
Hamburger Hill,1987,"Action,Drama,Thriller",6.7,23815
Harry and the Hendersons,1987,"Comedy,Family,Fantasy",6.0,31493
Hellraiser,1987,"Horror,Thriller",7.0,104867
The Hidden,1987,"Horror,Sci-Fi,Thriller",7.0,17424
Wings of Desire,1987,"Drama,Fantasy,Romance",8.0,65261
Hope and Glory,1987,"Comedy,Drama,Romance",7.3,12444
House II: The Second Story,1987,"Comedy,Fantasy,Horror",5.4,10277
House of Games,1987,"Crime,Thriller",7.3,20849
Innerspace,1987,"Action,Adventure,Comedy",6.8,54561
Ishtar,1987,"Action,Adventure,Comedy",4.4,10282
Jaws: The Revenge,1987,"Adventure,Horror,Thriller",3.0,41391
Where Is the Friend's House?,1987,"Drama,Family",8.1,10747
La Bamba,1987,"Biography,Drama,Music",6.9,28832
The Last Emperor,1987,"Biography,Drama,History",7.7,95027
Less Than Zero,1987,"Crime,Drama",6.5,18382
Lethal Weapon,1987,"Action,Crime,Thriller",7.6,237963
Law of Desire,1987,"Comedy,Drama,Thriller",7.1,10975
The Living Daylights,1987,"Action,Adventure,Thriller",6.7,89852
The Lost Boys,1987,"Comedy,Horror",7.3,124811
Mannequin,1987,"Comedy,Fantasy,Romance",6.0,29357
Masters of the Universe,1987,"Action,Adventure,Fantasy",5.4,37221
Maurice,1987,"Drama,Romance",7.7,16594
The Monster Squad,1987,"Action,Comedy,Fantasy",7.1,28710
Moonstruck,1987,"Comedy,Drama,Romance",7.1,50631
Mr. India,1987,"Action,Comedy,Drama",7.8,14179
Nayakan,1987,"Crime,Drama",8.6,16500
Near Dark,1987,"Action,Crime,Drama",7.0,34127
Night of the Demons,1988,"Comedy,Fantasy,Horror",6.2,14065
A Nightmare on Elm Street 3: Dream Warriors,1987,"Fantasy,Horror",6.6,71394
No Way Out,1987,"Action,Crime,Drama",7.1,35845
Opera,1987,"Crime,Horror,Mystery",7.0,15287
Over the Top,1987,"Action,Drama,Sport",5.8,50620
Overboard,1987,"Comedy,Romance",6.9,53011
Pelle the Conqueror,1987,Drama,7.8,10253
"Planes, Trains & Automobiles",1987,"Comedy,Drama",7.6,125429
Police Academy 4: Citizens on Patrol,1987,"Comedy,Crime",5.0,40390
Predator,1987,"Action,Adventure,Sci-Fi",7.8,373292
Prince of Darkness,1987,Horror,6.7,37859
The Princess Bride,1987,"Adventure,Family,Fantasy",8.0,395652
Project X,1987,"Comedy,Drama,Sci-Fi",6.1,10128
Radio Days,1987,Comedy,7.5,31798
Raising Arizona,1987,"Comedy,Crime",7.3,127492
Revenge of the Nerds II: Nerds in Paradise,1987,Comedy,5.2,13440
RoboCop,1987,"Action,Crime,Sci-Fi",7.6,234326
Roxanne,1987,"Comedy,Romance",6.6,41062
The Running Man,1987,"Action,Sci-Fi,Thriller",6.7,141938
The Secret of My Success,1987,"Comedy,Romance",6.5,29982
Some Kind of Wonderful,1987,"Drama,Romance",7.1,28163
Spaceballs,1987,"Adventure,Comedy,Sci-Fi",7.1,172628
Stakeout,1987,"Action,Comedy,Crime",6.6,23558
Stand and Deliver,1988,"Biography,Drama",7.3,17043
The Stepfather,1987,"Horror,Thriller",6.8,13316
Summer School,1987,"Comedy,Romance",6.6,17603
Superman IV: The Quest for Peace,1987,"Action,Adventure,Sci-Fi",3.7,43333
Teen Wolf Too,1987,"Comedy,Fantasy",3.4,10651
Three Men and a Baby,1987,"Comedy,Drama,Family",6.1,48477
Three O'Clock High,1987,Comedy,7.2,11035
Throw Momma from the Train,1987,"Comedy,Crime,Thriller",6.3,33710
The Untouchables,1987,"Crime,Drama,Thriller",7.9,283772
Wall Street,1987,"Crime,Drama",7.4,144531
The Witches of Eastwick,1987,"Comedy,Fantasy,Horror",6.6,62788
Withnail & I,1987,"Comedy,Drama",7.7,40609
Above the Law,1988,"Action,Crime,Drama",6.0,28897
The Accidental Tourist,1988,"Drama,Romance",6.8,14848
The Accused,1988,"Crime,Drama",7.1,31928
Action Jackson,1988,"Action,Comedy,Crime",5.5,10217
